method,path,controller,action
GET,/submit_event_mode,admin.'/Masters/submit_event_mode',index
GET,/list_event_mode_ajax,admin.'/Masters/list_event_mode_ajax',index
GET,/check_duplicate_event_mode,admin.'/Masters/check_duplicate_event_mode',index
GET,/delete_event_mode,admin.'/Masters/delete_event_mode',index
GET,/list-event-type,admin.'/Masters/view_event_type',index
GET,/submit_event_type,admin.'/Masters/submit_event_type',index
GET,/list_event_type_ajax,admin.'/Masters/list_event_type_ajax',index
GET,/check_duplicate_event_type,admin.'/Masters/check_duplicate_event_type',index
GET,/delete_event_type,admin.'/Masters/delete_event_type',index
GET,/list-industry-type,admin.'/Masters/view_industry_type',index
GET,/submit_industry_type,admin.'/Masters/submit_industry_type',index
GET,/list_industry_type_ajax,admin.'/Masters/list_industry_type_ajax',index
GET,/check_duplicate_industry_type,admin.'/Masters/check_duplicate_industry_type',index
GET,/delete_industry_type,admin.'/Masters/delete_industry_type',index
GET,/list-fund-size,admin.'/Masters/view_fund_size',index
GET,/submit_fund_size,admin.'/Masters/submit_fund_size',index
GET,/list_fund_size_ajax,admin.'/Masters/list_fund_size_ajax',index
GET,/check_duplicate_fund_size,admin.'/Masters/check_duplicate_fund_size',index
GET,/delete_fund_size,admin.'/Masters/delete_fund_size',index
GET,/list-folders,admin.'/Masters/view_folders',index
GET,/submit_folders,admin.'/Masters/submit_folders',index
GET,/list_folders_ajax,admin.'/Masters/list_folders_ajax',index
GET,/check_duplicate_folders,admin.'/Masters/check_duplicate_folders',index
GET,/delete_folders,admin.'/Masters/delete_folders',index
GET,/list-users,admin.'/Users/view_users',index
GET,/submit_users,admin.'/Users/submit_users',index
GET,/list_users_ajax,admin.'/Users/list_users_ajax',index
GET,/edit_users,admin.'/Users/edit_users',index
GET,/check_duplicate_folders,admin.'/Users/check_duplicate_users',index
GET,/delete_users,admin.'/Users/delete_users',index
GET,/get_state_list,admin.'/Users/get_state_list',index
GET,/get_city_list,admin.'/Users/get_city_list',index
GET,/list-service-provider,admin.'/Service_provider/view_service_provider',index
GET,/list_service_provider_ajax,admin.'/Service_provider/list_service_provider_ajax',index
GET,/list_service_details_ajax,admin.'/Service_provider/list_service_details_ajax',index
GET,/submit_service_provider,admin.'/Service_provider/submit_service_provider',index
GET,/edit_service_provider,admin.'/Service_provider/edit_service_provider',index
GET,/delete_service_provider,admin.'/Service_provider/delete_service_provider',index
GET,/view_service_provider_details,admin.'/Service_provider/view_service_provider_details',index
